# file...... outputFiles/overhead_line:power_in_B.csv
# date...... Mon Apr  4 09:07:19 2016
# user...... mlunacek
# host...... (null)
# group..... class=overhead_line
# property.. power_in_B
# limit..... 0
# interval.. 60
# timestamp,line_6,line_0,line_8,line_7,line_3,line_2,line_5,line_4,line_10
2013-07-01 04:24:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,-7.97751e-09-1.91698e-09j,-0+0j,+0+0j
2013-07-01 04:25:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,+3.34819e-09+2.93219e-09j,-0+0j,+0+0j
2013-07-01 04:26:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,-2.80853e-09-2.33114e-09j,-0+0j,+0+0j
2013-07-01 04:27:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,-2.03453e-09+3.08244e-09j,-0+0j,+0+0j
2013-07-01 04:28:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,-4.09921e-09-5.46407e-09j,-0+0j,+0+0j
2013-07-01 04:29:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,+3.25376e-09+6.73283e-09j,-0+0j,+0+0j
2013-07-01 04:30:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,-3.31507e-09-6.57873e-09j,-0+0j,+0+0j
2013-07-01 04:31:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,+1.25021e-09+5.42014e-12j,-0+0j,+0+0j
2013-07-01 04:32:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,-3.63147e-09+1.88189e-09j,-0+0j,+0+0j
2013-07-01 04:33:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,-1.50151e-10-1.09834e-09j,-0+0j,+0+0j
2013-07-01 04:34:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,-5.5907e-11-2.92578e-09j,-0+0j,+0+0j
2013-07-01 04:35:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,-4.8685e-09+6.37636e-10j,-0+0j,+0+0j
2013-07-01 04:36:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,-2.01112e-09-5.67123e-09j,-0+0j,+0+0j
2013-07-01 04:37:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,+4.65222e-09+2.85309e-09j,-0+0j,+0+0j
