# file...... outputFiles/transformer:power_in_C.csv
# date...... Mon Apr  4 09:07:19 2016
# user...... mlunacek
# host...... (null)
# group..... class=transformer
# property.. power_in_C
# limit..... 0
# interval.. 60
# timestamp,transformer_0,transformer_1,transformer_2,transformer_3,transformer_4,transformer_5,transformer_6,transformer_8,transformer_10,transformer_11,transformer_12,transformer_13,transformer_14,transformer_15,transformer_16,transformer_18,transformer_20
2013-07-01 17:33:00 UTC,+111528+97798.8j,+0+0j,+13225.8+3937.93j,+0+0j,+0+0j,+16015.5+4860.49j,+0+0j,+0+0j,+0+0j,+0+0j,+14590.3+5184.52j,+0+0j,+0+0j,+8266.18+2380.38j,+0+0j,+8282.28+2386.59j,+10716.4+3145.93j
2013-07-01 17:34:00 UTC,+111529+97799.5j,+0+0j,+13225.4+3937.72j,+0+0j,+0+0j,+16015+4860.23j,+0+0j,+0+0j,+0+0j,+0+0j,+14590.5+5184.83j,+0+0j,+0+0j,+8265.85+2380.25j,+0+0j,+8281.95+2386.46j,+10716+3145.76j
2013-07-01 17:35:00 UTC,+111529+97799.5j,+0+0j,+13225.4+3937.72j,+0+0j,+0+0j,+16015+4860.23j,+0+0j,+0+0j,+0+0j,+0+0j,+14590.5+5184.83j,+0+0j,+0+0j,+8265.85+2380.25j,+0+0j,+8281.95+2386.46j,+10716+3145.76j
2013-07-01 17:36:00 UTC,+111529+97799.5j,+0+0j,+13225.4+3937.72j,+0+0j,+0+0j,+16015+4860.23j,+0+0j,+0+0j,+0+0j,+0+0j,+14590.5+5184.83j,+0+0j,+0+0j,+8265.85+2380.25j,+0+0j,+8281.95+2386.46j,+10716+3145.76j
2013-07-01 17:37:00 UTC,+111522+97795.6j,+0+0j,+13221.8+3936.96j,+0+0j,+0+0j,+13498.3+4058.73j,+0+0j,+0+0j,+0+0j,+0+0j,+14584+5181.56j,+0+0j,+0+0j,+8264.16+2379.89j,+0+0j,+8280.31+2386.12j,+10713.3+3145.21j
2013-07-01 17:38:00 UTC,+111523+97798.4j,+0+0j,+13217.7+3935.19j,+0+0j,+0+0j,+13495.8+4057.63j,+0+0j,+0+0j,+0+0j,+0+0j,+14584.6+5182.79j,+0+0j,+0+0j,+10727.8+3151.25j,+0+0j,+10747.6+3159.51j,+10709.9+3143.78j
2013-07-01 17:39:00 UTC,+113802+98979.3j,+0+0j,+13217.2+3934.95j,+0+0j,+0+0j,+13494.9+4057.23j,+0+0j,+0+0j,+0+0j,+0+0j,+16813.7+6274.05j,+0+0j,+0+0j,+10727.3+3151.05j,+0+0j,+10747.1+3159.32j,+10709.4+3143.59j
2013-07-01 17:40:00 UTC,+113802+98979.4j,+0+0j,+13217.2+3934.95j,+0+0j,+0+0j,+13494.9+4057.23j,+0+0j,+0+0j,+0+0j,+0+0j,+16813.7+6274.06j,+0+0j,+0+0j,+10727.3+3151.05j,+0+0j,+10747.1+3159.32j,+10709.4+3143.59j
2013-07-01 17:41:00 UTC,+113802+98980.5j,+0+0j,+13215.6+3934.23j,+0+0j,+0+0j,+13494+4056.84j,+0+0j,+0+0j,+0+0j,+0+0j,+16814+6274.62j,+0+0j,+0+0j,+10726+3150.49j,+0+0j,+10745.8+3158.74j,+13170.7+3914.52j
2013-07-01 17:42:00 UTC,+113787+98972.6j,+0+0j,+13206+3931.68j,+0+0j,+0+0j,+10975.9+3256.14j,+0+0j,+0+0j,+0+0j,+0+0j,+16799.3+6267.33j,+0+0j,+0+0j,+10718.8+3148.57j,+0+0j,+10738.5+3156.81j,+15621.3+4683.96j
